timestamp,day_of_year,minute_of_day,location_index,original_address,demand,order_id
1725203700,245,1245,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",1,6134999782
1725203880,245,1248,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6139426270
1725203940,245,1249,3,"Aura Pizzas, Sector 4, Delhi NCR",2,6140972196
1725204060,245,1251,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6140813532
1725204120,245,1252,3,"Aura Pizzas, Sector 4, Delhi NCR",4,6143750861
1725204120,245,1252,20,"Swaad, Sector 135, Delhi NCR",1,6144092693
1725204540,245,1259,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6143603517
1725204780,245,1263,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6137630539
1725205080,245,1268,21,"Swaad, Sector 4, Delhi NCR",1,6144280420
1725205080,245,1268,3,"Aura Pizzas, Sector 4, Delhi NCR",2,6141783380
1725205380,245,1273,3,"Aura Pizzas, Sector 4, Delhi NCR",3,6142239387
1725205620,245,1277,2,"Aura Pizzas, Sector 135, Delhi NCR",1,6142827959
1725205860,245,1281,2,"Aura Pizzas, Sector 135, Delhi NCR",2,6139696668
1725206040,245,1284,2,"Aura Pizzas, Sector 135, Delhi NCR",1,6144606839
1725206280,245,1288,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",2,6144497421
1725206340,245,1289,18,"Swaad, DLF Phase 1, Delhi NCR",1,6144523335
1725206880,245,1298,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",2,6144923863
1725206880,245,1298,4,"Aura Pizzas, Vasant Kunj, Delhi NCR",2,6142429620
1725207060,245,1301,2,"Aura Pizzas, Sector 135, Delhi NCR",1,6143913035
1725207540,245,1309,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",2,6130866834
1725207600,245,1310,2,"Aura Pizzas, Sector 135, Delhi NCR",2,6137698882
1725207660,245,1311,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6143830176
